,feature,rating
0,staytime,29.62%
1,staynum,21.97%
2,user_age_na,17.66%
3,user_age,14.02%
4,client_type_id_3.0,2.93%
5,client_type_id_2.0,2.61%
6,staytime_na,2.1%
7,lastday_invite,1.85%
8,isinvited_1.0,1.71%
9,sex_id_2.0,1.23%
10,lastamt_invite,1.2%
11,sex_id_1.0,0.85%
12,rechargestatus_0.0,0.57%
13,rechargestatus_nan,0.46%
14,isrecharged_1.0,0.43%
15,rechargestatus_1.0,0.39%
16,client_type_id_6.0,0.35%
17,lastday_invite_na,0.04%
18,lastamt_invite_na,0.03%
19,staynum_na,0.0%
20,sex_id_nan,0.0%
21,client_type_id_nan,0.0%
22,isrecharged_nan,0.0%
23,isinvited_nan,0.0%
